Label,Title,Contents,Date
-1,I had issue with the delivery of my…,I had issue with the delivery of my order and spoke to melanie on Live. She was very helpful and sorted everything out for me.,14-Dec-19
-1,Unhelpful,My issue remains unresolved and I have been referred to a specialist team who are unable to give me a timeline.,14-Dec-19
0,had an issue with delivery,"had an issue with delivery, but was sorted on line quickly.",14-Dec-19
-1,Awful experience,Awful experience. No help at all. Will never use asos again,14-Dec-19
1,So polite and helpful.,So polite and helpful.,14-Dec-19
0,One star as they helped me with my…,One star as they helped me with my issue well but the to be waiting so long for someone’s gift to come and to be told it’s lost and the item is now out of stock is horrible. So close to Christmas i’ll fail to get a replacement in time,14-Dec-19
-1,Wait is too long and Yodel are terrible,"The only reason I am giving a rating at all is because Bethani on chat was helpful in responding to my complaint. I placed an order for Xmas presents and the order was sent back by yodel with no explanation. I now have to wait up to 3 weeks for a refund. Until ASOS change delivery partner, I shall not be buying again.",14-Dec-19
0,After waiting over a long period of time...,After waiting over a long period of time but I guess it’s a given with the time of year. But after getting through to a agent she was really helpful and quick at getting a resolution.,14-Dec-19
1,Really helpful and easy process,Really helpful and easy process,14-Dec-19
1,All Asos customer service providers are…,All Asos customer service providers are very professional and helpful,14-Dec-19
1,good customer service,"good customer service, very thorough and quick to deal with any situation.However, should not be delivering through a horrible courier service, Hermes is a disgrace",14-Dec-19
1,Excellent customer service,Excellent customer service - responded straight away to my query.  Spoke with Jaime who was incredibly helpful.,14-Dec-19
1,Advisers really helpful  just…,Advisers really helpful  just frustrating you have to wait upto 3 - 5 days for an outcome.,14-Dec-19
-1,Lack of communication and a very negative experience,I have had a very negative and stressful experience. One of my orders was cancelled and just never arrived so I chased up Asos and finally a replacement order was sent as there was some issue with it apparently. Then when I returned some of the items in my order I did not receive any refund information. I have spent couple of weeks waiting and then sending multiple emails to Asos customer care with no reply. I understand that this is a busy time but I have basically been ignored. I had wanted to do my shopping online to save time and make it easier but it has just been a negative and stressful experience. If I had not kept trying to sort the refund I don't think I would have ever recieved one. I have shopped online many times at Asos but am very upset and disappointed with the service now.,14-Dec-19
1,Excellent communication service.,Excellent communication service.,14-Dec-19
-1,French website is completely broken,"French website is completely broken. It reloads all the time, doesn't store the shopping cart. It always forgets who you are.It's impossible to buy anything. It""s even impossible to write to tell them. It always goes back to ""hey, first time here!"".I like the design of their products. The front end of their website is great too. But they should fire their entire backend team because it's costing them their Christmas sales.",14-Dec-19
-1,Lost and Stolen ASOS goods,"Jae! Thank you so much for being understanding of my issue, I was so devastated to hear that my ASOS parcel was ripped & half the items were missing. However, a replacement was offered and would arrive before Christmas so I am extremely happy with my service!! I appreciate your help so much. Thank you :)",14-Dec-19
1,Good customer service,Boyin was very nice over chat and answered all my questions.,14-Dec-19
1,Jass was very attentive and helpful,Jass was very attentive and helpful. I was in a panic and they really made sure I was given the best service and option possible. Thanks Asos!,14-Dec-19
1,Poppi was quick to adress my issue and…,Poppi was quick to adress my issue and was great.,14-Dec-19
1,Thank you boy in for great customer…,Thank you boy in for great customer service very patient agent and helpful.,14-Dec-19
1,best company ever,best company ever,14-Dec-19
1,Lesley was so amazing!,Lesley was so amazing!! She was so understand to the situation I was in and did what she could to help me out. I feel very lucky to have been placed with her. She is seriously the best customer service employee I have ever been in contact with!! Truly as asset to your company!!,14-Dec-19
1,Very helpful.,Very helpful.,14-Dec-19
1,Great service,Great service,14-Dec-19
-1,Whole order wrong,"Ordered 9 items, the most expensive item wasnt even in the bad which i got given and it had already been opened, how amazing is that? 7 of the items were either wrong item, wrong colour or wrong size. Only 1 item is what i asked for. Absolutely dreadful decision to order for black friday.",14-Dec-19
0,I just finished speaking with Sapphire…,"I just finished speaking with Sapphire regarding an order that's a little delayed & it was superb. Sapphire was so helpful, extremely personable, really kind & helped me with the information I needed in no time at all. Great customer service every time from ASOS. Thanks again.",14-Dec-19
0,ASOS customer service is always there…,"ASOS customer service is always there to help. The chat works well!However, via email, not so good!",14-Dec-19
1,Excellent customer service!!!,"Excellent customer service and the representative, Sabrina was so helpful!!.",14-Dec-19
1,very prompt replies and very helpful,very prompt replies and very helpful. answered every question i had.,14-Dec-19
1,It was great,"It was great, I had no problems",14-Dec-19
1,Quick and very helpful!,Quick and very helpful!,14-Dec-19
0,Have been looking for a reliable…,Have been looking for a reliable company to invest in the bitcoin mining sector/forex and binary options and I have lost over $17k in different fake websites until I met Mr Allan it’s been hell but since the past few weeks have been able to recover upto $14k and I’m gonna be fine soon so I’ll 💯 recommend him to anyhow who sees this.. you can reach him on Instagram @beee_trades and on WhatsApp +18034630467,14-Dec-19
-1,Misleading exchange,"I ordered a variety of items from asos on 29/11/19 and recieved my delivery on 09/12/19. I kept the items that were suitable. 4 items were sent back on 10/12/19 at 13:47. 3 items had been selected for a refund and 1 was requested for an exchange. I recieved an email today at 16:57 stating all of the items had been refunded, which I did not want. I first attempted contact around 7pm but had no luck. I recontacted Asos at 23:08 explaining the occurrence to the unhelpful Marta. I was given this - 'I’ve had a look and can see that we still have the jacket in stock – I’m sorry we weren’t able to replace this for you. It could be that none were available when we went to replace your order, which is why we weren’t able to replace it for you' then this 'as the refund has already been accepted by your bank, we're unable to send a replacement.The refund was processed on 13th December. Please allow up to 10 working days for the money to appear in your account. If you'd like, you could place a new order for the jacket and I'll refund your delivery charge. After you've received your shipping confirmation email, just reply to this email with your new order number - and we'll arrange your refund.' I think offering me free delivery was a terrible option, considering it is a mistake on their part. I mentioned I didn't see why I should be paying the now full price for an item where I had asked for it to be exchanged when it was a mistake on their part. Along with wondering if they had my form to view this error on their end. I got offered a 20% voucher, still not good enough when the item was 30% less and I didn't make an error they did. I opted for their exchange service which they have not honoured. I was then given another sad response 'We would only be able to offer a 20% code. The jacket could have been out of stock at the time, in which scenario we would refund you, but may have come back into stock.I'm not able to get your form, this would be at our warehouse.' The availability of this item in the size I have wanted has consistently been available every day since I sent the item back as that is what the website is still currently showing. I asked for this to be escalated as the outcome was not satisfying as I reiterate they have made the error. I was told it would not be escalated as the sales have ended. What does that matter? An escalation was my request. What I was finally left with... 'I completely understand, however the refund has been accepted by your bank and the price has changed so all I could offer is a 20% goodwill gesture.*my response*[23:25:49] What u are offering isn't enough[23:25:57] I didnt ask for a refundASOS[23:26:10] As I'm not able to help further and I've already given you a 20% promo code, I'll close the chat.[23:26:11] ASOS have ended the chatI think this is a real sign of a company trying to manipulate you to spend more on an item they offer exchanges regardless of being bought in the sale. The mistake is from their end and I am clearly being fobbed off with a good will gesture than a solution. Avoiding this being escalated is truly unprofessional.",14-Dec-19
1,Very helpful and patient,Very helpful and patient,14-Dec-19
1,Very helpful,"Very helpful, and professional.   Helped me get my problem fixed very efficiently.",14-Dec-19
1,Boyin was very helpful,"Boyin was very helpful, thank you.",14-Dec-19
1,First class customer service,Asos Costumer Service is first class.They are able to check every problem and sort it out in few minutes.,14-Dec-19
1,I would thank Selina for the good help…,I would thank Selina for the good help and fast responses But if you could only change the delivery company Thanks!,14-Dec-19
1,Boyin was very helpful in helping to…,Boyin was very helpful in helping to sort out my refund that had not been processed yet.,14-Dec-19
-1,Never got back to me regarding my…,Never got back to me regarding my problem. 3 months and still haven't had an answer nor refund. Appalling customer service. Now there is no live chat available.,14-Dec-19
1,Sapphire is very helpful,"Sapphire is very helpful,  solve my problem  good experiences with her .",14-Dec-19
1,Jerrome was very helpful and quickly…,Jerrome was very helpful and quickly solved my problem. I will be continuing as a customer who recommends your service and customer care,14-Dec-19
1,Helpful and Very Polite,Helpful and very polite,14-Dec-19
1,"Amazing products, great customer care!","Dani was very patient and understanding. She helped me resolve my missing order. Asos, in my opinion, has the best customer care service and with 24/7 access!",14-Dec-19
1,Abbas was a great help,Abbas was a great help,14-Dec-19
1,very nice service,very nice service,14-Dec-19
1,Good service but taking so long to get refunded,"Good products and service. I love ASOS because of their regular promotion. However, the refund is getting way too long. It used to be very good. Recently they have changed the policy. It says it can take 30-45 days. But it took me more than 2 months to get refunded. They also did not email me if they received my item or not. I kept wondering if the courier lost my parcel. I had to contact customer service to ask about my refund.",14-Dec-19
1,Yusuf quickly resolved my delivery woes…,"Yusuf quickly resolved my delivery woes and was able to accommodate a quicker shipping method since the order was lost. Thanks, Yusuf!",14-Dec-19
-1,slow,"slow, incomprehensible, rude at times, repetitive, extremely predictable, unhelpful, unnecessaryYou only good working for the Greek gov - thank you!",14-Dec-19
-1,BLACK FRIDAY SCAM!!!!!!!!!,"I used to be a loyal customer, I even purchased their premier delivery for one year because I purchase many many things from here but from now on never am I going to order more from them again!!!!My order placed since Black Friday have not reached me yet. It has been 2 weeks!!! The tracking link is useless as it does not show any update at all. I emailed them, contact via Facebook and live chat numerous time but all I got is the radio silent!!!!!! No sign of my items but my money was sure as hell deducted from my bank. This is ridiculous. I am really disappointed!!!! This is beyond ridiculous at this point",14-Dec-19
1,Kamran Was Splendid,"Kamran Was SplendidHad a problem of my own making with an order to ASOS....tried their online chatline help...after a short wait, connected to Kamran who understood my problem quickly and clearly.  Waiting for reply with positive expectations....Kamran was splendid",14-Dec-19
1,Absolutely awful,"Absolutely awful! Placed order for two items black Friday and received email that order was received. Didn't arrive on delivery date of 11th December, which was a long time to wait anyway. Online chat 13th December told me the order had failed and been cancelled but they hadn't told me this and the order still showed as due in my app. One item was then out if stock and they wouldn't honour the black Friday prices on the other. They offered only a 10% discount. I asked for express delivery as a gesture of goodwill and they refused. Awful service and no customer care at all. I'm spending my money elsewhere",14-Dec-19
1,shame about the wait of a few days!!,"nice and simple to sort out, ONCE I finally got to speak to someone!",14-Dec-19
0,A+++,A+++++++++++++++,14-Dec-19
1,LAUREN ROCKS,LAUREN ROCKSShe was so helpful and empathetic and did not give me the run around,14-Dec-19
1,Best customer care ever,Best customer care ever. Very helpful and kind.,14-Dec-19
0,Return and delivery queries,I have just spoken to Jade and she has been a pleasure to deal with. She was very helpful and answered my queries professionally which is very reassuring.,14-Dec-19
1,Perfect service,"Perfect service, very easy communication, pleasant experience!",14-Dec-19
1,Good customer service,"I have had a problem with my Delivery where Hermes stated the parcel was delivered, but I  did not receive a parcel. Darcy was very helpful sorting a replacement for me over Live Chat. Quick and easy fix :) just waiting on my replacement now.",14-Dec-19
1,Azeem kindly helped me resolve the…,Azeem kindly helped me resolve the issue. He was so knowledgeable and professional as well. I have been your customer for years and I am always pleased with the way you treat your customers.,14-Dec-19
-1,Worst customer service!,"This is absolutely the worst customer service I have ever received in my life. An error was made by ASOS, and the customer care team will not resolve it, despite there being an easy and clear solution. Each response is from a different person, some of whom have clearly read the previous messages and understand the situation, and others who clearly have no idea what’s going on.",14-Dec-19
-1,SENT ME A USED SHIRT,"SENT ME A USED SHIRTI know this sounds absurd...but I literally captured it on camera, and instead of my boots, I received a WORN IN, USED shirt with HAIR on it, and I also received new children's pants...like what?! I have returned my items for a refund because ASOS customer service denied me any compensation or anything for their mistake and instead, didn't refund me on shipping, made me go through this whole process...even though I received completely the incorrect order. Honestly, I contacted them on every platform and their response rates were awful, and they were rude as well. I have never been treated so poorly by a company. I had fine experiences with ASOS before, so I thought I could trust them...but this one AWFUL experience outweighs them all. please please dont trust ASOS.Also im looking to write a review straight on the website on the item I purchased and they dont offer reviews per item....THERES A REASON...be cautious","Updated Dec 14, 2019"
-1,This company just wants your money,"This company just wants your money. They don't offer exchanges, so be cautious of ordering items with a promo. They won't honor it if you need to buy a different size. Lewis and Sara both failed to help me and presented awful customer service for the company. Really bad first experience.",14-Dec-19
1,Lewis who helped me have me more…,"Lewis who helped me have me more information on my order than the carrier was able to, great customer service!",14-Dec-19
1,Nice customer service,Nice customer service from Rebecca.,14-Dec-19
1,Connor was very helpful and…,Connor was very helpful and understanding of my frustration. Promised to take action and provide feedback.,14-Dec-19
1,Extremely Helpful Customer Service,The person I spoke with via live chat was very helpful and was able to resolve my problem quickly and effectively.,14-Dec-19
1,Great service!,Great service!,14-Dec-19
1,Very efficient,Very efficient. Thanks,14-Dec-19
-1,Asos customer service is absolutely…,Asos customer service is absolutely terrible. They do not reply to customers,14-Dec-19
1,Azeem was very helpful great guy!!!,Azeem was very helpful great guy!!!,14-Dec-19
0,Swift Feedback,Swift Feedback,14-Dec-19
0,Been waiting 2 WEEKS for my delivery…,Been waiting 2 WEEKS for my delivery and still don’t have itShocking,14-Dec-19
1,Straight to the point,"Straight to the point, very good service.",14-Dec-19
1,Darby was so helpful and kind and I am…,Darby was so helpful and kind and I am grateful for her help,14-Dec-19
0,Somewhere between the asos depot and my…,"Somewhere between the asos depot and my house in glasgow over half my items were stolen out the asos bag. Asos resolved this situation so quickly and informed me all items that weren't received would be replaced and sent out FOC to me within 4 days. Great service, thank you! I do hope they find out exactly where my items were stolen!",14-Dec-19
0,Take days to respond and provide no solution,Take days to respond and provide no solution,13-Dec-19
1,Excellent help,"Excellent help, quickly resolved.",13-Dec-19
-1,Cr#p customer service,"Cr#p customer service. No item received and also used myhermes to send the parcel, who is also one of the worst delivery companies in existence. No contact possible with either company. Definitely avoid both companies and any other company hiding behind email with no phone number to call if there is a problem.",13-Dec-19
1,Ella was quick on its answers and gave…,Ella was quick on its answers and gave me a good solution for my problem.,13-Dec-19
-1,Gone Bald dealing with them,Their customer service has me ripping my ******** hair out. I have been messaging them for the last 10days about a missing delivery and we still haven't got past the security questions. Every couple of days i get a message asking another single question.. answer.. 2 days later another question.. answer and so on.Why not just ask me them all at once if you're so busy.Save yourselves the pain,"Updated Dec 13, 2019"
0,I would prefer to speak to someone on…,"I would prefer to speak to someone on the phone, but did find Darcy very helpful and resolved my issue quickly. Thank you.",13-Dec-19
1,Great help,Great help. Very helpful and quick.,13-Dec-19
1,Great costumers support ....,"Great costumers support ....Very helpfully and pleasent.I felted i been take care very fast and kindly I must addmit i have been surprised by the way he handle meMany tnx And keep up the good work , and the good mans you hire thereHe was great i felt good after the chat",13-Dec-19
1,Very helpful Morgan,"Very helpful Morgan, this is why customers come back to asos ;0",13-Dec-19
-1,worst online shopping site,"I've order here about 5 times-- bad experience every time. I always cave each holiday as it seems like the go-to place to shop and everyone seems to rave about it. Any item I've ordered is always either poor quality or defective. Thin material, sizing has always been off, and colors often are different from what is pictured. Going through customer care is the real nightmare though. It takes weeks to get a refund back. They have a policy that says once they receive it at the warehouse, the customer has to wait 10 ADDITIONAL days for them to ""process it at the warehouse"". Still, after the 10 days I've had to contact them to initiate the refund. They rarely get back via email so it's better to use the live chat feature on the website. All together, just a horrible experience each time. Never worth it. Never have had so many bad experiences at one online retailer.","Updated Dec 13, 2019"
1,Very helpful and quick response,Very helpful and quick response,13-Dec-19
1,very polite,very polite service! Company face is its staff. Asos has it nice.,13-Dec-19
1,Great customer service!,She took her time and was patient with me! Very pleasant as well.,13-Dec-19
1,Excellent and quick service,Excellent and quick service,13-Dec-19
1,Give April A Raise,"April was so polite, and quick and quick to help me with a refund for items that were misplaced from my latest shipment!",13-Dec-19
1,Had a great experience with Leighann,"Had a great experience with Leighann. He was clear, concise, and speedy in finding a solution to my return/refund problem.",13-Dec-19
1,Great help to me,Great help to me! :),13-Dec-19
0,Fran from customer service is the only…,Fran from customer service is the only person who had helped me in months!,13-Dec-19
1,Very Good,He is nice and fast helper.,13-Dec-19
0,Delivery delays are frequent and always blamed on partner delivery firms,"Have been experiencing several delays with deliveries in the last year or so, not just around peak periods such as Christmas. My latest order was never despatched and it took for me to get in touch to ask after it (after 4 days of no ‘next day’ delivery) to find out that it wasn’t on its way as per the email from DPD and two of the items were now out of stock. Other available items to be re-sent but no guarantees on when they will be despatched or delivered either and no compensation for delays. Really poor service.",13-Dec-19
1,very helpful!,very helpful!,13-Dec-19
1,Always quick delivery & customer service,Have been using ASOS for years and have always been pleased with their customer services - response and ability to help resolve issues is great.,13-Dec-19
1,Thankyou Tamara:),Tamara helped me in a quick and convenient manner. She was very polite and helped me get the result I needed. Excellent very happy thankyou.,13-Dec-19
1,Very helpful,Very helpful,13-Dec-19
1,I buy from Asos all the time.And have…,I buy from Asos all the time.And have done for a few years.I love the  wide selection they have. And can always find something that i really love.They are A brilliant company to deal with.Delivery is fast and reliable.They always keep you updated with Emails.Well done Asos you are fantastic.MERRY CHRISTMAS to you all.,13-Dec-19
1,Very Helpful,Very Helpful,13-Dec-19
1,Courtney was very helpful and provided…,Courtney was very helpful and provided a speedy response.,13-Dec-19
1,Naeem was awesome,Naeem was awesome! To the point and fast!!! Thanks u!!!,13-Dec-19
0,After working with several people to…,"After working with several people to get this issue sorted out, Amy was the first person to solve the problem. Thank you Amy!",13-Dec-19
-1,Did not listen to my delivery issue or…,"Did not listen to my delivery issue or make an attempt at resolving. Left the issue up to me to wait and/or deal with. I selected shipping locations specifically based on the expected shipping dates listed at time of order. I did not type in or print the shipping labels of your products, why am I left to deal with the mess?",13-Dec-19
1,Rebecca was very helpful and patient!,Rebecca was very helpful and patient!,13-Dec-19
1,Awesome,"Awesome, great customer service",13-Dec-19
1,was helpful and kind BHAVESH,was helpful and kind BHAVESH,13-Dec-19
1,Sara was helpful and quickly gave me…,Sara was helpful and quickly gave me the refund I needed. The online chat was much quicker and efficient than the Facebook messenger chat if tried to use earlier.,13-Dec-19
1,Asos were very swift and efficient with…,Asos were very swift and efficient with the solving of my problem.Thank you,13-Dec-19
0,"Good, but wish ASOS was doing more to reduce plastic and create fairer production.","Very few negative experiences. Just wish that there could be much less plastic involved and a stricter policy on production, and it's really putting me off ordering unless I need something desperately last minute.",13-Dec-19
1,Rebecca was very helpful and responded…,Rebecca was very helpful and responded quickly.,13-Dec-19
-1,Order was never shipped after 3 weeks of waiting,"Order was never shipped after almost three weeks of waiting. After trying to contact customer services on live chat on several occasions, I got through to someone who said the order had not been shipped. Therefore I could either have a refund or a 'replacement' order. When I asked if I could just reorder the original items, I received unclear and conflicting responses. Throughout this whole order, I received no correspondence from ASOS about my order being cancelled/lost/never shipped, so if I didn't contact them, I would have essentially lost over £150 worth of items. Currently awaiting refund but terrible service throughout",13-Dec-19
1,Amazing,"Amazing job, Morgan! Thank you !!!","Updated Dec 13, 2019"
1,Great service on getting refund,Great service on getting refund,13-Dec-19
1,great,The experience was fast and easy. Thanks to CHELSEA,13-Dec-19
0,Good,"Good,  just a bit slow with returns which is a shame",13-Dec-19
1,The dream.,The absolute dream.,13-Dec-19
1,very helpful,very helpful. speaking to a person was very useful. tried to do it through hermes and all i got was a unhelpful automated chat.,13-Dec-19
1,5* ASOS,"Dwayne was very efficient,polite and helpful!",13-Dec-19
0,Responded quickly and efficiently.,Responded quickly and efficiently.,13-Dec-19
1,Effortless conversation and immediate…,Effortless conversation and immediate response & support from the agent! Glad you care for your consumers this much!,13-Dec-19
0,Quick response,"Quick response, clear answers.",13-Dec-19
1,Carlo was very helpful,Carlo was very helpful,13-Dec-19
1,Live chat was super useful,"Live chat was super useful. Courier said my parcel was delivered when it wasn't, asos assitant issued a replacement. Excellent service.",13-Dec-19
1,Javeria was extremely helpful and…,Javeria was extremely helpful and despite the confusion with different orders on my part Javeria was very polite,13-Dec-19
1,The service was excellent,"The service was excellent, not only did I get a reply straight away but they then helped me sort the issue out , great help !!",13-Dec-19
0,my guy Callum a legend,my guy Callum a legend,13-Dec-19
1,ASOS Customer Care are very good,"ASOS Customer Care are very good. They are happy to help, and very friendly.",13-Dec-19
1,Very kind,Very kind. Good assist,13-Dec-19
0,I'm normally so happy with Asos,I'm normally so happy with Asos. I recieve orders quickly and it all goes to plan. But they obviously can't handle the demands of black Friday as everything I ordered then still hasn't been delivered. I've emailed and messaged and hardly had a response (I got one email back telling me to wait longer). Then finally got onto chatting about my order with someone only to be told all they could do is refund me or try and re-create the order - but only if the stuff was still in stock. Really disappointed with how much they failed over the black friday period.,13-Dec-19
0,Spoke with Paige,Spoke with Paige to enquire about a refund. My klarna hasn't been updated as of yet even though the parcel has been returned to ASOS for about 10 days. Paige quickly and promptly helped with the situation and updated the payment for me. Thank you Paige! :),13-Dec-19
-1,Asos was just Useless,"The customer service was unable to give a credible reason to why my account was blocked and also was unable to get me to the right team needed in order to get my concerns resolved, and finally they were unable to provide a telephone number to speak to a manager or supervisor. Very useless customer service in 2019.","Updated Dec 13, 2019"
1,Helpful,Helpful understanding prompt and,13-Dec-19
1,Great service,Great service,13-Dec-19
1,Very friendly & fast processing,Very friendly & fast processing,13-Dec-19
1,Excellent customer service.,Excellent customer service.,13-Dec-19
1,she is very helpful,she is very helpful,13-Dec-19
-1,The customer adviser did not have all…,The customer adviser did not have all the information it needs to resolve issues. no certain time line was given until i receive an answer.,13-Dec-19
0,Louise tried her best to assure me…,Louise tried her best to assure me about a hopeless situation:),13-Dec-19
1,Chloe was great,Chloe was great. Solved my problem straight away.,13-Dec-19
0,Things always don't go to plan,Things always don't go to plan and when orders gives you lemons ASOS make lemonade,13-Dec-19
1,Helpful,"Helpful assistance from Talia. If anything, an alternative solution to my problem could have been suggested earlier on in the conversation as had to probe a little to get the result needed. Good to know what kind of solutions can be offered if possible (I found a solution on Twitter)",13-Dec-19
1,paige was very quick and nice also fun,paige was very quick and nice also fun,13-Dec-19
0,I would have given a lower ranking if…,"I would have given a lower ranking if not a customer care representative DWAYNE, who was friendly and helpful. He promised to resolve the issue.","Updated Dec 13, 2019"
1,"Adie, Chloe and Gillian","Adie, Chloe and Gillian was so kind and helpful! It was a pleasure.",13-Dec-19
1,Very helpful,Very helpful,13-Dec-19
-1,Terrible so-called customer service,Terrible so-called customer service. They just go in circles around the clear solution. Offering everything but appropriate solutions to issues caused by them. This is the 5th time i’ve had to complain via twitter and they’re not so understanding. Better off directly calling  them as they’re less likely to be so ignorant,13-Dec-19
1,Super helpful,Super helpful,13-Dec-19
1,After ASOS cancelling my order…,"After ASOS cancelling my order unbeknown to me, due to “technical issues” , I contacted customer services and the lady Bethani was super helpful. She was kind, understanding and was able to resolve the issue easily offering me a discount code, meaning I am to be able to replace the order in time for Christmas! Cheers ASOS!",13-Dec-19
1,Jamie was very quick to respond,"Jamie was very quick to respond, very helpful. solved my issue straight away.",13-Dec-19
1,Very helpful and straight to the point,Very helpful and straight to the point,13-Dec-19
1,ASOS Customer service chat,"The customer service chat service is awesome in that it allows us to chat with them and directly ask them questions, I feel that it is better than calling services as sometimes it gets very complicated and the waiting time is really long and inefficient. The customer chat service is very helpful and friendly and it solved my queries.",13-Dec-19
1,5 Star Service,"The service was great and kind throughout the whole conversation. It took some time to wait for a reply however, I didn't mind since I was doing something on the side while waiting. Overall, great experience! Keep it up :)",13-Dec-19
1,I've just been assisted by Ravika and…,I've just been assisted by Ravika and had a really nice experience. Got answers to all my questions and hopefully in a few days my issue will be solved!,13-Dec-19
1,great custumer service,"great custumer service , issue resolve as soon as possible",13-Dec-19
1,Chelsea is very helpful to my order…,"Chelsea is very helpful to my order issue, i was not happy with what happened to my order but she helped me solve the problem. very friendly and talented agent",13-Dec-19
1,Jordan was quick and efficient,Jordan was quick and efficient. top job.,13-Dec-19
1,Great service from customer support,Great service from customer support! Items were missing but live chat help was v helpful! Thanks Paige!,13-Dec-19
1,Fab customer service chat,I spoke with Chelsea on the chat about my missing return. She was quick with her responses and very helpful. We had all my queries resolved within 10 minutes! Fantastic service - thanks Chelsea,13-Dec-19
-1,Disappointing!,Disappointing!,13-Dec-19
1,Thank you for helping me ASAP,Thank you for helping me ASAP,13-Dec-19
-1,Worst worst worst customer service I…,"Worst worst worst customer service I had yesterday!! I ordered from ASOS on the 3rd of December and chose the next day delivery option. Haven't got any update since from them and have been contacting customer service daily using chat online. Their service was so rude, advicing me to wait until end of each day and if there isn't any progress to contact back in the next day!! I have to apparently wait until the end of 4th working day AFTER MIDNIGHT to contact for a possible refund. But I chose the NEXT DAY DELIVERY OPTION!! The worst bit of the whole experience is I was told off that there is nothing they could do to advice as it was MY FAULT THAT THE LATE DELIVERY BANNER WAS POSTED ON ASOS ON 28 NOVEMBER 2019. I WAS TOLD THAT I SHOULD READ BEFORE I ORDER IN THE FUTURE. The customer service analyst was also very eager to close the chat and was very sarcastic throughout the conversation. Poor poor service!!",13-Dec-19
1,Friendly efficient and helpful,"Friendly efficient and helpful! Thank you so much, great service",13-Dec-19
1,Good customer service,I have used ASOS on multiple occasions and never had an issue and the one time I have their customer service was very helpful,13-Dec-19
1,Great service!,Great service!,13-Dec-19
0,Chat,Margot was nice but it impossible to get to the Chet ! Please try to make it easier for us!,13-Dec-19
1,Good service,Good service,13-Dec-19
1,Quick and amazing customer service from…,Quick and amazing customer service from Poppie!!,13-Dec-19
0,More than help my order did not come in…,"More than help my order did not come in for my upcoming trip. As this was my first experience with ASOS, it was extremely frustrating but Gwenne helped me promptly and effectively. 5 stars for customer service but 3 for the lack of attention to orders.",13-Dec-19
